R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo
78,43.830361,18.305311,Lokalna cesta,18/06/2022,06:15:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
79,43.831745,18.307765,Lokalna cesta,28/08/2022,04:00:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
80,43.79539,18.24574,Regionalna cesta,09/01/2022,03:30:00,Sa snijegom,Noć,Sa snijegom,0,0,1,Izlijetanje izvan kolovoza,Ruralno,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,,,,,,,
81,43.80624,18.22977,Regionalna cesta,06/02/2022,20:20:00,Oblačno,Noć,Mokar,0,0,1,Izlijetanje izvan kolovoza,Ruralno,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1,,,,,,,,,
82,43.822502,18.204564,Lokalna cesta,07/04/2022,20:35:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
83,43.822323,18.203866,Lokalna cesta,07/07/2022,17:00:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
84,43.831249,18.17724,Lokalna cesta,08/08/2022,15:15:00,Kiša,Dan,Mokar,0,1,0,Sudar vozila i motocikla,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1,,,,1,,,,,
85,43.852983,18.392933,Regionalna cesta,04/01/2022,10:40:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
86,43.858812,18.401181,Lokalna cesta,19/01/2022,20:40:00,Nepoznato,Noć,Nepoznato,0,1,0,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
87,43.85169,18.378777,Magistralna cesta,19/01/2022,22:20:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
88,43.850557,18.404174,Lokalna cesta,27/01/2022,17:30:00,Kiša,Noć,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
89,43.851986,18.372155,Lokalna cesta,28/01/2022,11:55:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,,,,,,,,,
90,43.8516,18.37894,Lokalna cesta,29/01/2022,18:45:00,Kiša,Noć,Mokar,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,1,,,,,,,,,
91,43.847655,18.396644,Regionalna cesta,01/02/2022,11:20:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
92,43.852843,18.381862,Magistralna cesta,04/02/2022,21:00:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
93,43.847625,18.387063,Regionalna cesta,08/02/2022,20:00:00,Kiša,Noć,Mokar,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
94,43.85767,18.391409,Lokalna cesta,15/02/2022,13:53:00,Vedro,Dan,Suh,0,0,1,Udar zadnjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Kružni tok,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
95,43.8522462,18.40558581,Lokalna cesta,26/02/2022,08:20:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
96,43.849455,18.403314,Magistralna cesta,10/03/2022,14:40:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
97,43.8527024,18.38634304,Magistralna cesta,13/03/2022,16:15:00,Vedro,Dan,Suh,0,0,3,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,1,,,,,,,,,
98,43.855893,18.384313,Lokalna cesta,25/04/2022,08:00:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
99,43.852583,18.384716,Magistralna cesta,10/05/2022,18:44:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
100,43.8532353,18.38923762,Magistralna cesta,12/05/2022,11:20:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
101,43.849358,18.368459,Magistralna cesta,18/08/2022,06:30:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
102,43.848254,18.390656,Regionalna cesta,22/08/2022,21:35:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
103,43.850914,18.367306,Magistralna cesta,25/08/2022,12:50:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
104,43.85285,18.385492,Magistralna cesta,30/08/2022,12:55:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,2,,,,,,,,,
105,43.852396,18.359682,Lokalna cesta,08/01/2022,13:30:00,Sa snijegom,Dan,Sa snijegom,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,4,,,,,,,,,
106,43.855278,18.365833,Lokalna cesta,05/02/2022,09:40:00,Vedro,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
107,43.84866173,18.36691711,Lokalna cesta,10/02/2022,18:40:00,Sa snijegom,Dan,Sa snijegom,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
108,43.849167,18.366944,Magistralna cesta,24/02/2022,18:30:00,Sa snijegom,Sumrak,Sa snijegom,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,3,,,,,,,,,
109,43.861029,18.358055,Lokalna cesta,04/03/2022,12:00:00,Vedro,Sumrak,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
110,43.857778,18.353889,Lokalna cesta,28/03/2022,07:25:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2,,,,,,,,,
111,43.846944,18.353333,Magistralna cesta,28/03/2022,11:35:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
112,43.855278,18.366111,Lokalna cesta,06/04/2022,20:40:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
113,43.847778,18.366944,Lokalna cesta,09/04/2022,22:10:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
114,43.861944,18.364722,Lokalna cesta,10/04/2022,22:15:00,Vedro,Noć,Suh,0,0,2,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Školski prelaz,Da,Da,0,0,2,0,2,,,,,,,,,
115,43.852059,18.346963,Lokalna cesta,11/04/2022,07:30:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,1,,,,
116,43.863056,18.351667,Lokalna cesta,15/04/2022,14:30:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
117,43.852033,18.34724,Lokalna cesta,19/04/2022,07:35:00,Vedro,Dan,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
118,43.845628,18.342476,Magistralna cesta,20/04/2022,13:15:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
119,43.845872,18.347429,Magistralna cesta,22/04/2022,23:20:00,Oblačno,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,1,,,,,,,
120,43.832427,18.336768,Lokalna cesta,14/02/2022,15:15:00,Oblačno,Dan,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,2,,,,,,,,,
121,43.838798,18.342817,Lokalna cesta,17/02/2022,17:40:00,Oblačno,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2,,,,,,,,,
122,43.832899,18.348554,Lokalna cesta,26/06/2022,21:20:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
123,43.82588,18.35018,Lokalna cesta,24/07/2022,14:10:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
124,43.82717,18.35492,Lokalna cesta,11/08/2022,12:30:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
125,43.879357,18.307461,Lokalna cesta,22/01/2022,19:15:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
126,43.874444,18.311667,Magistralna cesta,25/01/2022,08:25:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,,2,,,,
127,43.880833,18.316944,Magistralna cesta,14/02/2022,16:50:00,Kiša,Dan,Mokar,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
128,43.869542,18.311772,Magistralna cesta,04/04/2022,08:25:00,Vedro,Dan,Suh,0,0,3,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2,,,,,,,,,
129,43.881355,18.317554,Magistralna cesta,11/04/2022,11:45:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
130,43.884123,18.321693,Magistralna cesta,17/05/2022,07:00:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
131,43.85165002,18.40245024,Lokalna cesta,06/01/2022,16:50:00,Kiša,Dan,Mokar,1,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,1,0,1,1,1,1,,,,,,,,
132,43.83188802,18.30831922,Lokalna cesta,07/01/2022,07:00:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
133,43.8542146,18.43015419,Lokalna cesta,18/01/2022,10:20:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
134,43.85040724,18.36020238,Lokalna cesta,20/01/2022,17:20:00,Vedro,Sumrak,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
135,43.84827109,18.3670166,Lokalna cesta,21/01/2022,13:00:00,Vedro,Sumrak,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
136,43.90188268,18.34314767,Lokalna cesta,09/02/2022,07:40:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
137,43.84627947,18.37643337,Lokalna cesta,09/02/2022,18:25:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
138,43.85615432,18.42377541,Lokalna cesta,11/02/2022,20:58:00,Vedro,Noć,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
139,43.84339874,18.34099884,Lokalna cesta,18/02/2022,15:20:00,Vedro,Dan,Suh,0,1,2,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,3,0,2,,,,,,,,,
140,43.84022868,18.34897426,Lokalna cesta,23/02/2022,13:20:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
141,43.859724,18.415072,Lokalna cesta,25/02/2022,08:00:00,Vedro,Dan,Suh,0,1,0,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
142,43.84533,18.340485,Lokalna cesta,08/03/2022,19:15:00,Vedro,Noć,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
143,43.8420125,18.33868696,Lokalna cesta,19/03/2022,14:35:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2,,,,,,,,,
144,43.85297326,18.40658256,Lokalna cesta,11/04/2022,07:10:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
145,43.85614619,18.42377158,Lokalna cesta,11/04/2022,16:20:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
146,43.87662635,18.31280044,Lokalna cesta,14/04/2022,15:05:00,Vedro,Dan,Suh,1,0,8,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,1,0,9,1,1,,,,,,1,,,
147,43.85824479,18.41212215,Lokalna cesta,24/04/2022,07:50:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2,,,,,,,,,
148,43.87855083,18.39326626,Lokalna cesta,26/04/2022,06:40:00,Vedro,Dan,Suh,0,1,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,2,0,2,,,,,,,,,
149,43.85615914,18.42259398,Lokalna cesta,10/05/2022,13:45:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
150,43.838018,18.318344,Lokalna cesta,11/05/2022,17:40:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
151,43.82922576,18.35359853,Lokalna cesta,16/05/2022,15:00:00,Vedro,Dan,Suh,0,1,1,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Bez prelaza,Da,Da,0,0,2,0,1,1,,,,,,,,
152,43.90199219,18.34437727,Lokalna cesta,17/05/2022,08:50:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
153,43.85566562,18.39777918,Lokalna cesta,20/05/2022,13:10:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
154,43.83172484,18.30925332,Lokalna cesta,28/05/2022,09:50:00,Vedro,Dan,Suh,0,1,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,2,0,1,1,,,,,,,,
155,43.85272547,18.37653004,Lokalna cesta,31/05/2022,18:35:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
156,43.84395649,18.36645503,Lokalna cesta,01/06/2022,19:25:00,Oblačno,Sumrak,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
157,43.838018,18.318344,Magistralna cesta,06/06/2022,06:50:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
158,43.898008,18.361337,Lokalna cesta,10/06/2022,09:30:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
159,43.84593662,18.37379756,Lokalna cesta,13/06/2022,13:55:00,Vedro,Dan,Suh,1,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,1,0,1,1,1,1,,,,,,,,
160,43.85161925,18.37896042,Lokalna cesta,16/06/2022,12:00:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
161,43.85554855,18.41881718,Lokalna cesta,22/06/2022,12:20:00,Vedro,Dan,Suh,0,1,0,Izlijetanje izvan kolovoza,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
162,43.84794273,18.35941332,Lokalna cesta,30/06/2022,23:30:00,Oblačno,Noć,Suh,0,1,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2,,,,,,,,,
163,43.831699,18.307852,Lokalna cesta,03/07/2022,21:45:00,Vedro,Noć,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
164,43.98938704,18.23092339,Regionalna cesta,11/07/2022,14:45:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
165,43.85168833,18.37880786,Lokalna cesta,13/07/2022,18:05:00,Vedro,Dan,Suh,0,1,0,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
166,43.86011238,18.41178448,Lokalna cesta,20/07/2022,12:25:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
167,43.85567326,18.39777372,Lokalna cesta,23/07/2022,22:40:00,Vedro,Noć,Suh,0,1,0,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
168,43.83488719,18.32852796,Lokalna cesta,10/08/2022,12:50:00,Vedro,Dan,Suh,0,1,0,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
169,43.85907831,18.35395814,Regionalna cesta,21/08/2022,12:10:00,Kiša,Dan,Mokar,0,3,3,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Bez prelaza,Da,Da,0,0,6,0,2,,,,,,,,,
170,43.87829628,18.41015261,Lokalna cesta,25/08/2022,16:20:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
171,43.85886537,18.42040028,Lokalna cesta,30/08/2022,09:10:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
172,43.84925813,18.37982878,Lokalna cesta,30/08/2022,23:35:00,Vedro,Noć,Suh,0,1,3,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,4,0,2,,,,,,,,,
173,43.85374785,18.364521,Lokalna cesta,22/05/2022,11:10:00,Vedro,Dan,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,2,0,2,,,,,,,,,
174,43.84807264,18.359999,Magistralna cesta,26/05/2022,16:00:00,Vedro,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,,,,1,,,,,,
175,43.8542794,18.3663725,Lokalna cesta,27/05/2022,19:30:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2,,,,,,,,,
