R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo
20,43.858931,18.41716,Magistralna cesta,25/04/2022,14:30:00,Nepoznato,Dan,Nepoznato,0,0,3,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,3,0,2,,,,,,,,,
21,43.856556,18.418094,Magistralna cesta,11/05/2022,19:45:00,Nepoznato,Dan,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,3,,,,,,,,,
22,43.87857,18.393063,Magistralna cesta,12/05/2022,19:30:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1,,,,1,,,,,
23,43.858851,18.420403,Magistralna cesta,02/02/2022,19:00:00,Nepoznato,Noć,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
24,43.856234,18.412972,Magistralna cesta,20/05/2022,13:02:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Petokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
25,43.878932,18.399796,Magistralna cesta,22/05/2022,13:30:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,3,,,,,,,,,
26,43.871772,18.406711,Magistralna cesta,24/05/2022,07:15:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,3,,,,,,,,,
27,43.855823,18.408835,Magistralna cesta,25/05/2022,13:00:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
28,43.855725,18.406682,Magistralna cesta,30/05/2022,13:15:00,Nepoznato,Dan,Nepoznato,0,0,1,Pad motocikla na kolovoz,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,,,,,1,,,,,
29,43.855669,18.413432,Lokalna cesta,07/06/2022,08:55:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar vozila i e-romobila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,,1,,,,,,,
30,43.85638,18.41355,Magistralna cesta,11/06/2022,08:55:00,Nepoznato,Dan,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
31,43.86424,18.411121,Magistralna cesta,12/06/2022,17:20:00,Oblačno,Dan,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,1,,,,,,,1,,
32,43.878932,18.399796,Magistralna cesta,13/06/2022,07:45:00,Nepoznato,Dan,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,1,,,,1,,,,,
33,43.856149,18.424107,Lokalna cesta,04/07/2022,13:15:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
34,43.86424,18.411121,Magistralna cesta,11/07/2022,18:15:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,,,,,,,1,,
35,43.866849,18.409569,Magistralna cesta,11/07/2022,18:45:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
36,43.86512,18.410591,Magistralna cesta,24/07/2022,21:10:00,Nepoznato,Noć,Nepoznato,0,0,2,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,1,2,,,,,,,,
37,43.856612,18.418938,Magistralna cesta,06/08/2022,20:50:00,Nepoznato,Noć,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
38,43.868342,18.408688,Magistralna cesta,21/08/2022,22:15:00,Nepoznato,Noć,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
39,43.86424,18.411121,Magistralna cesta,29/08/2022,10:55:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,,,1,,,,,,
40,43.855524,18.402349,Magistralna cesta,14/04/2022,09:30:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
41,43.856789,18.424237,Magistralna cesta,15/08/2022,17:25:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom preticanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,1,,,,,
42,43.899215,18.35559,Lokalna cesta,16/03/2022,15:05:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
43,43.901708,18.347048,Lokalna cesta,21/03/2022,08:10:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
44,43.882264,18.383646,Lokalna cesta,23/03/2022,11:05:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
45,43.901005,18.340689,Lokalna cesta,25/03/2022,19:20:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
46,43.902442,18.338276,Lokalna cesta,06/05/2022,18:40:00,Kiša,Sumrak,Mokar,0,0,2,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
47,43.894093,18.362027,Lokalna cesta,10/07/2022,17:55:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2,,,,,,,,,
